{'01044099999': -10.0, '02293099999': -27.6}
         312338 function calls (307852 primitive calls) in 0.710 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 abc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:114(_has_ipv6)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2058    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
    10892    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       53    0.000    0.000    0.001    0.000 typing.py:866(__init__)
      186    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
     1809    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.001    0.001    0.001    0.001 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:198(split)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
      473    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
2378/2310    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 functools.py:904(wrapper)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 functools.py:818(dispatch)
       33    0.000    0.000    0.001    0.000 typing.py:1586(__getitem__)
        1    0.000    0.000    0.001    0.001 functools.py:774(_find_impl)
        1    0.000    0.000    0.001    0.001 functools.py:732(_compose_mro)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:454(StrFormatStyle)
      7/1    0.000    0.000    0.001    0.001 functools.py:687(_c3_mro)
      7/1    0.001    0.000    0.001    0.001 functools.py:725(<listcomp>)
        1    0.000    0.000    0.001    0.001 typing.py:2945(NamedTuple)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
